¬nombre¬1¬2¬rating¬reviews¬price¬ciudad¬comida¬zona¬fecha¬hora¬clave
39¬Soda Bar¬4,6(326)¬Cervecería · C. de Rodríguez San Pedro, 44¬4,6¬326¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Soda Bar Soda Bar 22-08-2022
40¬Restaurante Membibre¬4,4(1.131) · €€€¬Restaurante · C. de Guzmán el Bueno, 40¬4,4¬1.131¬  €€€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante Membibre Restaurante Membibre 22-08-2022
41¬Soda Bar¬4,6(326)¬Cervecería · C. de Rodríguez San Pedro, 44¬4,6¬326¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Soda Bar Soda Bar 22-08-2022
42¬The Toast Cafe¬4,1(1.184) · €€¬Brunch · C. de Fernando el Católico, 50¬4,1¬1.184¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬The Toast Cafe The Toast Cafe 22-08-2022
43¬Mr. Hot Dog Madrid¬4,4(255) · €¬Americana · C. de Guzmán el Bueno, 41¬4,4¬255¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Mr. Hot Dog Madrid Mr. Hot Dog Madrid 22-08-2022
44¬Steakburger¬4,3(2.962) · €€¬Hamburguesa · Calle de Fuencarral, 73¬4,3¬2.962¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Steakburger Steakburger 22-08-2022
45¬La Pilla¬4,3(1.205) · €€¬Parrilla · C. de Almagro, 3¬4,3¬1.205¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Pilla La Pilla 22-08-2022
46¬Restaurante Gaudium¬4,7(342) · €€¬Mediterránea · C. de Sta. Feliciana, 14¬4,7¬342¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante Gaudium Restaurante Gaudium 22-08-2022
47¬La Charla¬3,8(822) · €€¬Restaurante · Calle de Sta Engracia, 76¬3,8¬822¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Charla La Charla 22-08-2022
48¬MEAT¬4,2(1.147) · €€¬Hamburguesa · Calle de Sta. Teresa, 4¬4,2¬1.147¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬MEAT MEAT 22-08-2022
49¬Burger King¬3,8(1.045) · €¬Comida rápida · Metro Iglesia, P.º del Gral. Martínez Campos, 17¬3,8¬1.045¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Burger King Burger King 22-08-2022
50¬Pink's ‼️¬4,9(15)¬Hamburguesa · C. de Alonso Cano, 22¬4,9¬15¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Pink's ‼️ Pink's ‼️ 22-08-2022
51¬La rebelde¬4,0(128)¬Restaurante · C. de Cea Bermúdez, 58¬4,0¬128¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La rebelde La rebelde 22-08-2022
52¬Alma Cheli¬4,2(919) · €¬Restaurante · 28010, Calle de Sta Engracia, 103¬4,2¬919¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Alma Cheli Alma Cheli 22-08-2022
53¬Gandarío¬4,6(1.144) · €¬Bar de tapas · C. de Gaztambide, 28¬4,6¬1.144¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Gandarío Gandarío 22-08-2022
